symbol,sector,LTP,fut_net(w1),call_net(wtd),put_net(wtd),NEW_NET,NEW_NET_prev,DIFF,fut_d,callW_d,putW_d,pos_col15,reconcile(NEW-col15),net_side,ban,fut_eligible,opt_veto,opt_reducing,in_book,book_lots,fut_score,opt_score,conviction,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
HCLTECH,IT,1272.2,34.0,-1.95,1.58,33.63,35.71,-2.08,-1.0,-1.12,0.04,35.0,-1.37,LONG,,,Y,,,,0.5909,-0.784,0.197,35.71,,,,,,,,,,,,,,,,,,
HDFCAMC,Financials,2458.5,23.0,0.94,5.1,29.04,30.44,-1.4,0.0,-0.42,-0.98,30.0,-0.96,LONG,,,Y,,,,0.7647,-0.858,0.2549,30.44,,,,,,,,,,,,,,,,,,
HDFCBANK,Pvt Bank,712.4,312.0,71.43,78.96,462.39,463.92,-1.53,1.0,-4.63,2.1,474.0,-11.61,LONG,,,Y,,,,-0.0501,-0.993,0.0167,463.92,,,,,,,,,,,,,,,,,,
HDFCLIFE,Financials,541.75,39.0,3.5,13.66,56.17,56.17,0.0,0.0,0.02,-0.03,57.0,-0.83,LONG,,Y,Y,,,,-0.2297,-0.947,0.0766,56.17,,,,,,,,,,,,,,,,,,
HEROMOTOCO,Auto,5343.5,16.0,5.35,3.94,25.29,26.69,-1.4,0.0,-1.39,-0.01,30.0,-4.71,LONG,,,Y,,,,2.3333,-0.885,0.3333,26.69,,,,,,,,,,,,,,,,,,
HINDALCO,Metals,1009.7,51.0,2.87,5.65,59.52,56.11,3.41,4.0,0.16,-0.76,60.0,-0.48,LONG,,,Y,,,,0.875,-0.904,0.2917,56.11,,,,,,,,,,,,,,,,,,
HINDPETRO,Oil&Gas,353.55,14.0,-0.31,10.08,23.77,24.15,-0.38,0.0,-0.38,0.0,21.0,2.77,LONG,,,Y,,,,-0.087,-0.923,0.029,24.15,,,,,,,,,,,,,,,,,,
HINDUNILVR,CD/FMCG,1969.3,56.0,14.44,6.24,76.68,80.12,-3.44,0.0,-3.41,-0.03,83.0,-6.32,LONG,,,Y,,,,-0.0978,-0.948,0.0326,80.12,,,,,,,,,,,,,,,,,,
HINDZINC,Metals,594.6,32.0,5.44,7.05,44.48,46.5,-2.02,-3.0,0.02,0.97,48.0,-3.52,LONG,,,Y,,,,0.2632,-0.912,0.0877,46.5,,,,,,,,,,,,,,,,,,
HYUNDAI,,2205.0,2.0,2.64,0.99,5.63,5.05,0.58,0.0,0.59,-0.01,7.0,-1.37,LONG,,Y,,,Y,10,-0.3636,-0.696,0.1212,5.05,,,,,,,,,,,,,,,,,,
ICICIBANK,Pvt Bank,1433.6,19.0,-26.82,14.0,6.18,8.59,-2.41,0.0,-1.69,-0.72,6.0,0.18,LONG,,,,,,,5.0,0.357,0.4524,8.59,,,,,,,,,,,,,,,,,,
ICICIGI,Financials,1511.8,14.0,-0.73,3.0,16.27,16.29,-0.02,0.0,-0.02,0.0,16.0,0.27,LONG,,,Y,,,,0.1429,-0.598,0.0476,16.29,,,,,,,,,,,,,,,,,,
ICICIPRULI,Financials,485.4,22.0,0.9,4.5,27.39,30.39,-3.0,-3.0,0.18,-0.17,29.0,-1.61,LONG,,,Y,,,,0.16,-0.825,0.0533,30.39,,,,,,,,,,,,,,,,,,
IDEA,Telecom,15.62,53.0,-5.32,4.99,52.66,51.25,1.41,2.0,0.4,-0.97,50.0,2.66,LONG,,Y,,,Y,10,-0.3827,0.159,0.1806,51.25,,,,,,,,,,,,,,,,,,
IDFCFIRSTB,Pvt Bank,86.41,8.0,-8.02,5.16,5.14,7.24,-2.1,0.0,-2.16,0.06,5.0,0.14,LONG,,Y,,,Y,10,-0.7059,0.307,0.3378,7.24,,,,,,,,,,,,,,,,,,
IEX,Financials,118.33,22.0,1.55,2.1,25.65,28.63,-2.98,0.0,-2.99,0.01,26.0,-0.35,LONG,,,Y,,,,0.2381,-0.773,0.0794,28.63,,,,,,,,,,,,,,,,,,
INDHOTEL,Real Estate,717.85,9.0,-0.62,2.6,10.98,9.98,1.0,1.0,-0.01,0.01,13.0,-2.02,LONG,,Y,,,,,-0.1875,-0.195,0.0625,9.98,,,,,,,,,,,,,,,,,,
INDIANB,PSU BANK,873.85,8.0,5.35,3.0,16.35,16.48,-0.13,0.0,-0.13,0.0,19.0,-2.65,LONG,,,Y,,,,0.1176,-0.87,0.0392,16.48,,,,,,,,,,,,,,,,,,
